key,value
soccer_ball,⚽
basket_ball,🏀
american_football,🏈
baseball,⚾
tennis_racquet_ball,🎾
volley_ball,🏐
rugby_football,🏉
billiards,🎱
activity_in_hole,⛳
golfer,🏌
table_tennis_paddle_ball,🏓
badminton_racquet_shuttle_cock,🏸
ice_hockey_stick_puck,🏒
field_hockey_stick_ball,🏑
cricket_bat_ball,🏏
ski_and_ski_boot,🎿
skier,⛷
snow_boarder,🏂
ice_skate,⛸
bow_and_arrow,🏹
fishing_pole_and_fish,🎣
row_boat,🚣
row_boat_type_1_2,🚣🏻
row_boat_type_3,🚣🏼
row_boat_type_4,🚣🏽
row_boat_type_5,🚣🏾
row_boat_type_6,🚣🏿
swimmer,🏊
swimmer_type_1_2,🏊🏻
swimmer_type_3,🏊🏼
swimmer_type_4,🏊🏽
swimmer_type_5,🏊🏾
swimmer_type_6,🏊🏿
surfer,🏄
surfer_type_1_2,🏄🏻
surfer_type_3,🏄🏼
surfer_type_4,🏄🏽
surfer_type_5,🏄🏾
surfer_type_6,🏄🏿
bath,🛀
bath_type_1_2,🛀🏻
bath_type_3,🛀🏼
bath_type_4,🛀🏽
bath_type_5,🛀🏾
bath_type_6,🛀🏿
person_with_ball,⛹
person_with_ball_type_1_2,⛹🏻
person_with_ball_type_3,⛹🏼
person_with_ball_type_4,⛹🏽
person_with_ball_type_5,⛹🏾
person_with_ball_type_6,⛹🏿
weight_lifter,🏋
weight_lifter_type_1_2,🏋🏻
weight_lifter_type_3,🏋🏼
weight_lifter_type_4,🏋🏽
weight_lifter_type_5,🏋🏾
weight_lifter_type_6,🏋🏿
bicyclist,🚴
bicyclist_type_1_2,🚴🏻
bicyclist_type_3,🚴🏼
bicyclist_type_4,🚴🏽
bicyclist_type_5,🚴🏾
bicyclist_type_6,🚴🏿
mountain_bicyclist,🚵
mountain_bicyclist_type_1_2,🚵🏻
mountain_bicyclist_type_3,🚵🏼
mountain_bicyclist_type_4,🚵🏽
mountain_bicyclist_type_5,🚵🏾
mountain_bicyclist_type_6,🚵🏿
horse_racing,🏇
horse_racing_type_1_2,🏇🏻
horse_racing_type_3,🏇🏻
horse_racing_type_4,🏇🏽
horse_racing_type_5,🏇🏾
horse_racing_type_6,🏇🏿
main_business_suit_levitating,🕴
trophy,🏆
running_shirt_with_sash,🎽
sports_medal,🏅
military_medal,🎖
reminder_ribbon,🎗
rosette,🏵
ticket,🎫
admission_tickets,🎟
performing_arts,🎭
artist_palette,🎨
circus_tent,🎪
microphone,🎤
headphone,🎧
musical_score,🎼
musical_keyboard,🎹
saxophone,🎷
trumpet,🎺
guitar,🎸
violin,🎻
clapper_board,🎬
video_game,🎮
alien_monster,👾
direct_hit,🎯
game_die,🎲
slot_machine,🎰
bowling,🎳
olympic_rings,◯‍◯‍◯‍◯‍◯
