key,value
green_apple,🍏
red_apple,🍎
pear,🍐
tangerine,🍊
lemon,🍋
banana,🍌
watermelon,🍉
grapes,🍇
strawberry,🍓
melon,🍈
cherry,🍒
peach,🍑
pineapple,🍍
tomato,🍅
egg_plant,🍆
hot_pepper,🌶
ear_of_maize,🌽
roasted_sweet_potato,🍠
honey_pot,🍯
bread,🍞
cheese,🧀
poultry_leg,🍗
meat_on_bone,🍖
fried_shrimp,🍤
cooking,🍳
hamburger,🍔
french_fries,🍟
hot_dog,🌭
slice_of_pizza,🍕
spaghetti,🍝
taco,🌮
burrito,🌯
steaming_bowl,🍜
pot_of_food,🍲
fish_cake,🍥
sushi,🍣
bento_box,🍱
curry_and_rice,🍛
rice_ball,🍙
cooked_rice,🍚
rice_cracker,🍘
oden,🍢
dango,🍡
shaved_ice,🍧
ice_cream,🍨
soft_ice_cream,🍦
short_cake,🍰
birthday_cake,🎂
custard,🍮
candy,🍬
lollipop,🍭
chocolate_bar,🍫
popcorn,🍿
doughnut,🍩
cookie,🍪
bear_mug,🍺
clinking_beer_mugs,🍻
wine_glass,🍷
cocktail_glass,🍸
tropical_drink,🍹
bottle_with_popping_cork,🍾
sake_bottle_and_cup,🍶
tea_cup_without_handle,🍵
hot_beverage,☕
baby_bottle,🍼
fork_and_knife,🍴
fork_and_knife_with_plate,🍽
