key,value
dog_face,🐶
cat_face,🐱
mouse_face,🐭
hamster_face,🐹
rabbit_face,🐰
bear_face,🐻
panda_face,🐼
koala_face,🐨
lion_face,🦁
cow_face,🐮
pig_face,🐷
pig_nose,🐽
frog_face,🐸
octopus,🐙
monkey_face,🐵
tiger_face,🐯
see_no_evil_monkey,🙈
hear_no_evil_monkey,🙉
speak_no_evil_monkey,🙊
monkey,🐒
chicken,🐔
penguin,🐧
bird,🐦
baby_chick,🐤
hatching_chick,🐣
front_face_chick,🐥
wolf_face,🐺
boar,🐗
horse_face,🐴
unicorn_face,🦄
honey_bee,🐝
bug,🐛
snail,🐌
lady_beetle,🐞
ant,🐜
spider,🕷
scorpion,🦂
crab,🦀
snake,🐍
turtle,🐢
tropical_fish,🐠
fish,🐟
blow_fish,🐡
dolphin,🐬
spouting_whale,🐳
whale,🐋
crocodile,🐊
leopard,🐆
tiger,🐅
water_buffalo,🐃
ox,🐂
cow,🐄
dromedary_camel,🐪
bactrian_camel,🐫
elephant,🐘
goat,🐐
ram,🐏
sheep,🐑
horse,🐎
pig,🐖
rat,🐀
mouse,🐁
rooster,🐓
turkey,🦃
dove,🕊
dog,🐕
poodle,🐩
cat,🐈
rabbit,🐇
chipmunk,🐿
paw_prints,🐾
dragon,🐉
dragon_face,🐲
cactus,🌵
christmas_tree,🎄
ever_green_tree,🌲
deciduous_tree,🌳
palm_tree,🌴
seedling,🌱
herb,🌿
shamrock,☘
four_leaf,🍀
pine_decoration,🎍
tanabata_tree,🎋
leaf_wind,🍃
fallen_leaf,🍂
maple_leaf,🍁
ear_of_rice,🌾
hibiscus,🌺
sunflower,🌻
rose,🌹
tulip,🌷
blossom,🌼
cherry_blossom,🌸
bouquet,💐
mushroom,🍄
chestnut,🌰
jack_o_lantern,🎃
spiral_shell,🐚
spider_web,🕸
earth_america,🌎
earth_europe,🌍
earth_australia,🌏
full_moon,🌕
waning_gibbous_moon,🌖
last_quarter_moon,🌗
waning_crescent_moon,🌘
new_moon_symbol,🌑
waxing_crescent_moon,🌒
first_quarter_moon,🌓
waxing_gibbous_moon,🌔
new_moon_with_face,🌚
full_moon_face,🌝
first_quarter_moon_face,🌛
last_quarter_moon_face,🌜
sun_face,🌞
crescent_moon,🌙
white_star,⭐
glowing_star,🌟
dizzy_symbol,💫
sparkles,✨
comet,☄
black_sun_with_rays,☀
white_sun_small_cloud,🌤
sun_behind_cloud,⛅
white_sun_behind_cloud,🌥
white_sun_behind_cloud_rain,🌦
cloud,☁
cloud_with_rain,🌧
thunder_cloud_rain,⛈
cloud_lightening,🌩
high_voltage,⚡
fire,🔥
collision,💥
snow_flake,❄
cloud_with_snow,🌨
snowman,☃
snowman_without_snow,⛄
wind_blowing_face,🌬
dash_symbol,💨
cloud_with_tornado,🌪
fog,🌫
umbrella,☂
umbrella_with_rain_drops,☔
droplet,💧
splashing_sweat,💦
water_wave,🌊
