key,value
automobile,🚗
taxi,🚕
recreational_vehicle,🚙
bus,🚌
trolley_bus,🚎
racing_car,🏎
police_car,🚓
ambulance,🚑
fire_engine,🚒
minibus,🚐
delivery_truck,🚚
articulated_lorry,🚛
tractor,🚜
racing_motorcycle,🏍
bicycle,🚲
police_light,🚨
on_coming_police_car,🚔
on_coming_bus,🚍
on_coming_automobile,🚘
on_coming_taxi,🚖
aerial_tramway,🚡
mountain_cableway,🚠
suspension_railway,🚟
railway_car,🚃
tramcar,🚋
monorail,🚝
high_speed_train,🚄
high_speed_train_bullet_nose,🚅
light_rail,🚈
mountain_railway,🚞
steam_locomotive,🚂
train,🚆
metro,🚇
tram,🚊
station,🚉
helicopter,🚁
small_airplane,🛩
airplane,✈
airplane_departure,🛫
airplane_arriving,🛬
sailbot,⛵
motorboat,🛥
speedboat,🚤
ferry,⛴
passenger_ship,🛳
rocket,🚀
satellite,🛰
seat,💺
anchor,⚓
construction_sign,🚧
fuel_pump,⛽
bus_stop,🚏
vertical_traffic_light,🚦
horizontal_traffic_light,🚥
chequered_flag,🏁
ship,🚢
ferris_wheel,🎡
roller_coaster,🎢
carousel_horse,🎠
building_construction,🏗
foggy,🌁
tokyo_tower,🗼
factory,🏭
fountain,⛲
moon_viewing_ceremony,🎑
mountain,⛰
snow_capped_mountain,🏔
mount_fuji,🗻
volcano,🌋
silhouette_of_japan,🗾
camping,🏕
tent,⛺
national_park,🏞
motorway,🛣
railway_track,🛤
sunrise,🌅
sunrise_over_mountain,🌄
desert,🏜
beach_with_umbrella,🏖
desert_island,🏝
sunset_over_buildings,🌇
city_scape_at_dusk,🌆
city_scape,🏙
night_with_stars,🌃
bridge_at_night,🌉
milky_way,🌌
shooting_star,🌠
fire_work_sparkler,🎇
fireworks,🎆
rainbow,🌈
house_buildings,🏘
european_castle,🏰
japanese_castle,🏯
stadium,🏟
statue_of_liberty,🗽
house_building,🏠
house_with_garden,🏡
derelict_house_building,🏚
office_building,🏢
department_store,🏬
japanese_post_office,🏣
european_post_office,🏤
hospital,🏥
bank,🏦
hotel,🏨
convenience_store,🏪
school,🏫
love_hotel,🏩
wedding,💒
classical_building,🏛
church,⛪
mosque,🕌
synagogue,🕍
kaaba,🕋
shinto_shrine,⛩
